,name,rating,avg_salary,jobs,benefits,type_of_company,team_size,how_old,city,positives,negatives
0,TCS,3.8,853300,559,11400,IT Services & Consulting,100000.0,56,Mumbai,"['Job Security', ' Work Life Balance']","['Promotions / Appraisal', ' Salary & Benefits']"
1,Accenture,4.0,583100,5800,7000,IT Services & Consulting,100000.0,35,Dublin,"['Company Culture', ' Job Security', ' Skill Development / Learning']",['nan']
2,Cognizant,3.9,560500,525,5800,IT Services & Consulting,100000.0,30,Teaneck. new jersey.,['Skill Development / Learning'],['Promotions / Appraisal']
3,Wipro,3.8,415300,266,4900,IT Services & Consulting,100000.0,79,Bengaluru,['Job Security'],"['Promotions / Appraisal', ' Salary & Benefits']"
4,HDFC Bank,3.9,131900,270,3200,Banking,100000.0,30,Mumbai,"['Job Security', ' Skill Development / Learning']",['Promotions / Appraisal']
5,ICICI Bank,4.0,143600,216,3700,Banking,100000.0,30,Mumbai,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['nan']
6,Infosys,3.8,463700,1100,5100,IT Services & Consulting,100000.0,43,Bengaluru,"['Job Security', ' Company Culture', ' Skill Development / Learning']","['Salary & Benefits', ' Promotions / Appraisal']"
7,Capgemini,3.8,372700,675,3900,IT Services & Consulting,100000.0,57,Paris,"['Job Security', ' Work Life Balance', ' Skill Development / Learning']","['Promotions / Appraisal', ' Salary & Benefits']"
8,HCLTech,3.6,289800,471,4000,IT Services & Consulting,100000.0,33,Noida,['Job Security'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
9,Tech Mahindra,3.7,252100,886,3500,IT Services & Consulting,100000.0,38,Pune,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
10,Genpact,3.9,189300,898,3600,IT Services & Consulting,100000.0,27,New york,"['Job Security', ' Skill Development / Learning', ' Work Life Balance']","['Salary & Benefits', ' Promotions / Appraisal']"
11,Axis Bank,3.8,98200,311,2200,Banking,50.0,31,Mumbai,['Job Security'],['nan']
12,Concentrix Corporation,3.9,104600,112,3300,BPO,50.0,41,Fremont,"['Job Security', ' Company Culture']","['Promotions / Appraisal', ' Salary & Benefits']"
13,Amazon,4.2,141500,689,4200,Internet,100000.0,30,Seattle,"['Company Culture', ' Salary & Benefits', ' Work Life Balance']",['nan']
14,Teleperformance,3.5,75300,246,2000,BPO,50.0,46,Paris,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
15,Reliance Jio,4.0,67600,131,2600,Telecom,50.0,17,Navi mumbai,"['Job Security', ' Skill Development / Learning']",['Promotions / Appraisal']
16,IBM,4.1,224200,2600,2700,Software Product,100000.0,113,Armonk,"['Work Life Balance', ' Job Security', ' Skill Development / Learning']",['Promotions / Appraisal']
17,Larsen & Toubro Limited,4.0,79200,80,2900,Engineering & Construction,10.0,86,Mumbai,"['Job Security', ' Skill Development / Learning']",['nan']
18,Reliance Retail,3.9,58900,248,2000,Retail,100000.0,18,Navi Mumbai,"['Skill Development / Learning', ' Job Security']",['Promotions / Appraisal']
19,HDB Financial Services,4.0,50500,45,1500,NBFC,100000.0,17,Ahmedabad,"['Skill Development / Learning', ' Job Security', ' Company Culture']",['Promotions / Appraisal']
20,Vodafone Idea,4.2,61300,336,2000,,5.0,6,Mumbai,"['Company Culture', ' Work Life Balance', ' Salary & Benefits']",['nan']
21,BYJU'S,3.1,55400,885,1900,EdTech,10.0,13,Bengaluru,['nan'],"['Job Security', ' Work Life Balance', ' Company Culture']"
22,Deloitte,3.9,174700,279,2500,Management Consulting,100000.0,179,London,"['Job Security', ' Salary & Benefits', ' Skill Development / Learning']",['nan']
23,Kotak Mahindra Bank,3.8,77900,304,1300,Banking,50.0,21,Mumbai,['Job Security'],['Promotions / Appraisal']
24,Reliance Industries,4.0,66500,36,1900,Oil & Gas,100000.0,47,Navi mumbai,"['Job Security', ' Skill Development / Learning', ' Work Life Balance']",['Promotions / Appraisal']
25,Bharti Airtel,4.0,44800,313,1600,Telecom,10.0,29,Gurgaon/gurugram,"['Skill Development / Learning', ' Job Security', ' Company Culture']",['nan']
26,iEnergizer,4.6,17700,69,508,BPO,10.0,24,Noida,"['Company Culture', ' Skill Development / Learning', ' Job Security']",['nan']
27,Tata Motors,4.2,43000,18,1700,Automobile,10.0,79,Pune,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['nan']
28,Flipkart,4.1,47200,411,1500,Internet,10.0,17,Bengaluru,"['Skill Development / Learning', ' Company Culture', ' Job Security']",['nan']
29,WNS,3.5,54600,123,1400,BPO,10.0,28,Mumbai,['Job Security'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
30,IndusInd Bank,3.7,47000,276,800,Banking,10.0,30,Gurgaon/gurugram,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
31,Ernst & Young,3.6,123500,1800,1300,Management Consulting,50.0,22,London,['Job Security'],"['Work Life Balance', ' Work Satisfaction', ' Promotions / Appraisal']"
32,AU Small Finance Bank,4.5,18100,157,488,Banking,10.0,28,Jaipur,"['Skill Development / Learning', ' Job Security', ' Company Culture']",['nan']
33,Mahindra & Mahindra,4.2,38200,93,1300,Automobile,100000.0,79,Mumbai,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['nan']
34,Infosys BPM,3.9,58100,55,1100,BPO,10.0,22,Bengaluru,"['Job Security', ' Company Culture', ' Skill Development / Learning']","['Salary & Benefits', ' Promotions / Appraisal']"
35,DXC Technology,3.8,82900,140,1100,IT Services & Consulting,10.0,7,Minato,['Work Life Balance'],"['Promotions / Appraisal', ' Salary & Benefits']"
36,IDFC FIRST Bank,4.0,39900,93,719,Banking,10.0,6,Mumbai,"['Salary & Benefits', ' Job Security', ' Skill Development / Learning']",['nan']
37,Conneqt Business Solutions,3.7,25400,45,798,BPO,10.0,22,Mumbai,['nan'],"['Promotions / Appraisal', ' Salary & Benefits']"
38,HDFC Life,4.1,26200,103,634,Insurance,10.0,24,Mumbai,"['Skill Development / Learning', ' Job Security', ' Company Culture']",['nan']
39,LTIMindtree,3.7,94400,38,847,IT Services & Consulting,50.0,25,Bengaluru,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
40,Bajaj Finserv,4.0,25100,53,743,Insurance,10.0,17,Pune,"['Salary & Benefits', ' Skill Development / Learning', ' Job Security']",['nan']
41,Mphasis,3.5,64200,67,874,IT Services & Consulting,10.0,26,Bengaluru,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
42,PwC,3.6,82000,501,860,Management Consulting,10.0,144,London,['Job Security'],"['Work Life Balance', ' Work Satisfaction', ' Promotions / Appraisal']"
43,HSBC Group,4.1,61600,22,1200,Banking,10.0,22,Pune,"['Job Security', ' Work Life Balance', ' Company Culture']",['nan']
44,Samsung,4.1,21300,257,562,Consumer Electronics & Appliances,50.0,86,Seoul,"['Salary & Benefits', ' Job Security', ' Skill Development / Learning']",['nan']
45,Hinduja Global Solutions,3.9,25800,23,1000,IT Services & Consulting,10.0,24,Bengaluru,"['Job Security', ' Company Culture', ' Skill Development / Learning']","['Promotions / Appraisal', ' Salary & Benefits']"
46,Startek,3.2,23200,40,703,BPO,10.0,7,Mumbai,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
47,Ericsson,4.3,45100,73,1000,Telecom,10.0,148,Stockholm,"['Company Culture', ' Work Life Balance', ' Job Security']",['nan']
48,Maruti Suzuki,4.2,25800,24,1100,Automobile,10.0,43,New delhi,"['Job Security', ' Salary & Benefits', ' Skill Development / Learning']",['nan']
49,Asian Paints,4.0,22000,52,902,Chemicals,5.0,82,Mumbai,"['Salary & Benefits', ' Skill Development / Learning', ' Job Security']",['nan']
50,Yes Bank,3.9,40700,21,630,Banking,10.0,20,Mumbai,"['Salary & Benefits', ' Work Life Balance']",['nan']
51,Cipla Pharmaceutical,4.1,24100,44,888,Pharma,10.0,89,Mumbai,"['Skill Development / Learning', ' Salary & Benefits', ' Work Life Balance']",['nan']
52,Dr. Reddy's,4.1,24200,151,878,Pharma,10.0,40,Hyderabad/secunderabad,"['Skill Development / Learning', ' Company Culture', ' Work Life Balance']",['nan']
53,Sutherland Global Services,3.7,27400,174,937,IT Services & Consulting,10.0,38,Pittsford,['nan'],"['Promotions / Appraisal', ' Salary & Benefits']"
54,UltraTech Cement,4.2,21600,13,652,Building Material,10.0,41,Mumbai,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['nan']
55,EXL Service,3.8,37300,161,850,Analytics & KPO,10.0,25,New delhi,"['Job Security', ' Work Life Balance']","['Promotions / Appraisal', ' Salary & Benefits']"
56,NTT DATA,4.0,52700,93,770,,10.0,36,Chiyoda city,"['Job Security', ' Work Life Balance', ' Company Culture']",['Promotions / Appraisal']
57,Bandhan Bank,3.8,19400,30,531,Banking,50.0,23,Kolkata,['Job Security'],"['Promotions / Appraisal', ' Work Satisfaction']"
58,TATA Steel,4.1,23100,16,672,Iron & Steel,100000.0,117,Mumbai,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['nan']
59,Paytm,3.4,30100,534,582,FinTech,10.0,14,Noida,['nan'],"['Job Security', ' Promotions / Appraisal', ' Company Culture']"
60,ICICI Prudential Life Insurance,4.1,22200,253,0,Insurance,10.0,24,Mumbai,"['Job Security', ' Skill Development / Learning', ' Salary & Benefits']",['nan']
61,Jana Small Finance Bank,3.8,15600,130,619,Banking,10.0,18,Bengaluru,['nan'],['nan']
62,Bajaj Finance,4.0,19500,65,517,NBFC,10.0,37,Pune,"['Salary & Benefits', ' Skill Development / Learning', ' Job Security']",['nan']
63,Lupin,4.1,22800,20,816,Pharma,10.0,56,Mumbai,"['Skill Development / Learning', ' Company Culture', ' Work Life Balance']",['nan']
64,Indian Army,4.7,9900,0,757,Defence & Aerospace,100000.0,129,New delhi,"['Job Security', ' Company Culture', ' Work Satisfaction']",['nan']
65,HCL Group,3.7,70200,1,690,IT Services & Consulting,100000.0,48,Chennai,['Job Security'],"['Promotions / Appraisal', ' Salary & Benefits']"
66,Udaan,4.0,19300,278,790,Internet,1.0,8,Bengaluru,"['Salary & Benefits', ' Skill Development / Learning']",['Job Security']
67,L&T Infotech,3.8,74800,124,883,IT Services & Consulting,10.0,28,Mumbai,['Job Security'],"['Promotions / Appraisal', ' Salary & Benefits']"
68,ITC,3.9,23300,71,726,FMCG,10.0,49,Kolkata,"['Job Security', ' Skill Development / Learning']",['Promotions / Appraisal']
69,Zydus Lifesciences,4.1,18100,56,681,Pharma,10.0,72,Ahmedabad,"['Job Security', ' Skill Development / Learning', ' Salary & Benefits']",['nan']
70,Wells Fargo,4.0,46300,24,901,Banking,10.0,172,San francisco,"['Job Security', ' Work Life Balance', ' Company Culture']",['nan']
71,Quess,3.9,23300,243,459,IT Services & Consulting,100000.0,17,Bengaluru,['Work Life Balance'],['Promotions / Appraisal']
72,Delhivery,4.0,16700,364,662,Logistics,10.0,13,New delhi,['Skill Development / Learning'],['nan']
73,JP Morgan Chase,4.2,72200,1100,902,Financial Services,50.0,24,New york,"['Job Security', ' Company Culture', ' Skill Development / Learning']",['nan']
74,FIS,3.9,39300,82,781,FinTech,10.0,56,Jacksonville,"['Work Life Balance', ' Company Culture', ' Job Security']",['Promotions / Appraisal']
75,Hindustan Unilever,4.2,21400,210,686,FMCG,10.0,152,London,"['Skill Development / Learning', ' Job Security', ' Company Culture']",['nan']
76,Amazon Development Centre India,4.2,6500,27,46,Internet,10.0,,Hyderabad/secunderabad,"['Company Culture', ' Work Life Balance', ' Salary & Benefits']",['nan']
77,IIFL Finance,3.9,27800,117,436,NBFC,10.0,29,Mumbai,"['Skill Development / Learning', ' Salary & Benefits']",['nan']
78,JSW Steel,3.9,24600,70,623,Iron & Steel,10.0,42,Mumbai,"['Job Security', ' Skill Development / Learning']",['Promotions / Appraisal']
79,Hexaware Technologies,3.7,45200,306,584,IT Services & Consulting,10.0,34,Mumbai,['nan'],"['Promotions / Appraisal', ' Salary & Benefits']"
80,Sun Pharmaceutical Industries,4.1,20100,90,633,Pharma,10.0,41,Mumbai,"['Job Security', ' Salary & Benefits', ' Skill Development / Learning']",['nan']
81,Ujjivan Small Finance Bank,4.1,12700,28,595,Banking,10.0,7,Bengaluru,"['Company Culture', ' Job Security', ' Skill Development / Learning']",['nan']
82,Max Life Insurance,4.2,16800,377,509,Insurance,10.0,24,Gurgaon/gurugram,"['Skill Development / Learning', ' Company Culture', ' Job Security']",['nan']
83,Aurobindo Pharma,4.0,21900,9,490,Pharma,10.0,38,Hyderabad/secunderabad,"['Job Security', ' Salary & Benefits']",['nan']
84,Home Credit Finance,4.1,11400,89,628,Financial Services,10.0,12,Gurugram,"['Company Culture', ' Skill Development / Learning', ' Work Life Balance']",['nan']
85,Muthoot Finance,3.5,11700,416,333,NBFC,10.0,85,Kochi/cochin,['nan'],"['Promotions / Appraisal', ' Work Satisfaction', ' Salary & Benefits']"
86,Shapoorji Pallonji Group,4.2,15600,22,656,Engineering & Construction,5.0,159,Mumbai,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['nan']
87,KPMG India,3.6,62700,424,781,Management Consulting,10.0,37,Bengaluru,['Job Security'],"['Work Life Balance', ' Work Satisfaction', ' Promotions / Appraisal']"
88,Oracle,3.9,59000,220,637,Software Product,50.0,47,Austin,"['Work Life Balance', ' Job Security', ' Company Culture']","['Promotions / Appraisal', ' Salary & Benefits']"
89,Tata Projects,4.2,19500,27,559,Engineering & Construction,5.0,45,Mumbai,"['Job Security', ' Company Culture', ' Skill Development / Learning']",['nan']
90,OPPO,3.9,13700,15,649,Consumer Electronics & Appliances,10.0,20,Dongguan,['Skill Development / Learning'],['Promotions / Appraisal']
91,eClerx,3.4,27600,502,581,IT Services & Consulting,10.0,24,Mumbai,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
92,L&T Construction,4.0,14300,0,808,Engineering & Construction,10.0,80,Chennai,"['Job Security', ' Skill Development / Learning', ' Salary & Benefits']",['nan']
93,Capgemini Technology Services India Limited,4.0,45600,2,457,IT Services & Consulting,100000.0,,Bengaluru,"['Job Security', ' Work Life Balance', ' Company Culture']","['Promotions / Appraisal', ' Salary & Benefits']"
94,Shriram Transport Finance,4.1,9500,0,497,NBFC,10.0,45,Mumbai,"['Job Security', ' Skill Development / Learning', ' Work Life Balance']",['nan']
95,Ashok Leyland,4.1,18600,1,675,Automobile,5.0,76,Chennai,"['Skill Development / Learning', ' Work Satisfaction', ' Company Culture']",['nan']
96,Siemens,4.2,30200,1300,656,Power,5.0,177,Munich,"['Job Security', ' Company Culture', ' Work Life Balance']",['nan']
97,Apollo Hospitals,4.1,15100,104,521,Healthcare,10.0,41,Chennai,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['nan']
98,JLL,4.2,20100,25,567,Real Estate,10.0,27,Mumbai,"['Skill Development / Learning', ' Job Security', ' Company Culture']",['nan']
99,Vivo,4.1,14000,7,660,Consumer Electronics & Appliances,5.0,15,Gurgaon/gurugram,"['Skill Development / Learning', ' Company Culture', ' Work Life Balance']",['Promotions / Appraisal']
100,Omega Healthcare,3.8,19900,84,410,Healthcare,10.0,21,Bengaluru,['nan'],"['Promotions / Appraisal', ' Salary & Benefits']"
101,JustDial,3.6,15000,103,382,Internet,10.0,28,Noida,['nan'],"['Promotions / Appraisal', ' Work Satisfaction', ' Job Security']"
102,First Source,3.8,20100,126,597,BPO,10.0,23,Bengaluru,['nan'],"['Promotions / Appraisal', ' Salary & Benefits']"
103,Mahindra & Mahindra Financial Services,4.3,10800,45,511,NBFC,10.0,33,Rourkela,"['Job Security', ' Company Culture', ' Work Life Balance']",['nan']
104,Megha Engineering & Infrastructures,4.0,14700,15,559,Engineering & Construction,50.0,35,Hyderabad/secunderabad,"['Job Security', ' Skill Development / Learning', ' Work Life Balance']",['Promotions / Appraisal']
105,Hewlett-Packard Enterprise,4.3,32000,62,624,Emerging Technologies,10.0,9,Bengaluru,"['Company Culture', ' Work Life Balance', ' Job Security']",['nan']
106,Hero MotoCorp,4.2,14500,7,605,Automobile,5.0,40,Gurgaon/gurugram,"['Work Life Balance', ' Job Security', ' Company Culture']",['nan']
107,Bajaj Allianz Life Insurance,4.1,15100,27,484,Insurance,10.0,23,Rourkela,"['Salary & Benefits', ' Work Life Balance', ' Job Security']",['nan']
108,Cyient,3.8,26000,235,489,IT Services & Consulting,10.0,33,Hyderabad/secunderabad,['Job Security'],"['Promotions / Appraisal', ' Salary & Benefits']"
109,ICICI Lombard General Insurance Company,3.8,16300,169,378,Insurance,10.0,23,Rourkela,['Job Security'],['Promotions / Appraisal']
110,D Mart,3.9,13700,119,482,Retail,10.0,24,Mumbai,"['Job Security', ' Company Culture']",['Promotions / Appraisal']
111,BigBasket,4.0,15300,23,441,Internet,10.0,13,Bengaluru,"['Job Security', ' Skill Development / Learning']",['Promotions / Appraisal']
112,Coforge,3.5,34200,185,323,,10.0,20,Rourkela,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
113,Indiamart Intermesh,3.6,17500,900,441,Internet,5.0,28,Noida,['nan'],"['Promotions / Appraisal', ' Work Satisfaction', ' Work Life Balance']"
114,Virtusa Consulting Services,3.8,50300,107,342,IT Services & Consulting,10.0,28,Hyderabad/secunderabad,['nan'],['Promotions / Appraisal']
115,Hyundai Motor,4.3,13100,17,568,Automobile,10.0,57,Rourkela,"['Job Security', ' Salary & Benefits', ' Skill Development / Learning']",['nan']
116,Equitas Small Finance Bank,4.4,11300,10,402,Banking,10.0,17,Chennai,"['Job Security', ' Company Culture', ' Work Life Balance']",['nan']
117,TVS Motor,4.0,14100,19,538,Automobile,5.0,45,Hosur,"['Skill Development / Learning', ' Salary & Benefits', ' Company Culture']",['nan']
118,GlobalLogic,3.7,31600,91,547,IT Services & Consulting,10.0,24,Gurgaon/gurugram,"['Work Life Balance', ' Job Security', ' Company Culture']","['Promotions / Appraisal', ' Salary & Benefits', ' Skill Development / Learning']"
119,UST,3.8,35800,93,455,IT Services & Consulting,10.0,23,Bengaluru,"['Work Life Balance', ' Company Culture']","['Promotions / Appraisal', ' Salary & Benefits']"
120,Nagarro,4.2,25000,86,1200,IT Services & Consulting,10.0,28,Munich,"['Company Culture', ' Work Life Balance', ' Salary & Benefits']",['nan']
121,Atos Syntel,3.6,35400,36,540,IT Services & Consulting,5.0,44,Troy,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
122,Manappuram Finance,3.9,7600,3,265,NBFC,10.0,75,Thrissur/trichur,"['Skill Development / Learning', ' Promotions / Appraisal']",['nan']
123,Reliance Communications,3.9,12700,2,375,Telecom,201.0,22,Navi mumbai,['Skill Development / Learning'],['Promotions / Appraisal']
124,IQVIA,4.1,26800,30,551,Clinical Research,10.0,42,Durham,"['Job Security', ' Company Culture', ' Work Life Balance']",['Promotions / Appraisal']
125,Cummins,4.4,14900,14,483,Auto Components,10.0,62,Columbus,"['Company Culture', ' Work Life Balance', ' Skill Development / Learning']",['nan']
126,Bosch Global Software Technologies,4.2,34700,2,717,Software Product,10.0,34,Gerlingen,"['Job Security', ' Work Life Balance', ' Company Culture']",['Promotions / Appraisal']
127,SBI Cards & Payment Services,3.7,15800,130,349,,1.0,26,Gurgaon/gurugram,['nan'],"['Promotions / Appraisal', ' Work Satisfaction']"
128,Bosch,4.3,20100,10,626,Auto Components,5.0,138,Gerlingen,"['Company Culture', ' Work Life Balance', ' Skill Development / Learning']",['nan']
129,SMFG India Credit,4.1,10600,56,348,NBFC,10.0,17,Mumbai,"['Salary & Benefits', ' Job Security', ' Skill Development / Learning']",['nan']
130,BNY Mellon,4.1,28400,438,554,Investment Banking / Venture Capital / Private Equity,10.0,20,New york city,"['Company Culture', ' Work Life Balance', ' Job Security']",['nan']
131,Oyo Rooms,3.4,25600,171,393,Hospitality,1.0,11,Gurgaon,['nan'],"['Job Security', ' Promotions / Appraisal', ' Work Satisfaction']"
132,Cholamandalam Investment & Finance,4.1,9700,11,312,NBFC,10.0,46,Chennai,"['Salary & Benefits', ' Job Security', ' Skill Development / Learning']",['nan']
133,Schneider Electric,4.1,20900,137,482,Industrial Automation,10.0,25,Paris,"['Company Culture', ' Skill Development / Learning', ' Job Security']",['Promotions / Appraisal']
134,Ekart Logistics,4.1,8300,0,365,Logistics,5.0,15,San,"['Skill Development / Learning', ' Salary & Benefits', ' Company Culture']",['nan']
135,Amdocs,4.0,35200,6,672,Software Product,10.0,42,Chesterfield,"['Company Culture', ' Job Security', ' Salary & Benefits']",['nan']
136,BT Group,4.1,11000,27,312,Telecom,10.0,178,London,"['Job Security', ' Work Life Balance', ' Company Culture']",['nan']
137,L&T Technology Services,3.4,31600,1,459,IT Services & Consulting,10.0,12,Vadodara/baroda,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
138,CBRE,4.2,15800,96,479,Real Estate,10.0,118,Los angeles,"['Skill Development / Learning', ' Company Culture', ' Job Security']",['nan']
139,State Bank of India,3.7,10300,181,402,Banking,100000.0,218,Mumbai,['Job Security'],"['Work Life Balance', ' Company Culture', ' Work Satisfaction']"
140,JBM Group,4.0,13100,1,390,Auto Components,1.0,41,Gurgaon/gurugram,"['Job Security', ' Skill Development / Learning']",['nan']
141,Swiggy,3.9,19200,374,363,Internet,5.0,10,Bengaluru,['Salary & Benefits'],"['Job Security', ' Promotions / Appraisal']"
142,Future Group,4.3,11900,16,421,Retail,10.0,11,Mumbai,"['Skill Development / Learning', ' Company Culture', ' Work Satisfaction']",['nan']
143,Dell,4.1,27200,59,565,Consumer Electronics & Appliances,10.0,40,Round rock,"['Company Culture', ' Work Life Balance', ' Job Security']",['nan']
144,Ecom Express,4.1,8800,59,334,Logistics,10.0,12,Gurgaon,"['Skill Development / Learning', ' Work Life Balance', ' Company Culture']",['nan']
145,Bajaj Auto,3.8,13000,0,560,Automobile,5.0,79,Pune,['nan'],['Promotions / Appraisal']
146,SBI Life Insurance Company,3.8,10600,10,329,Insurance,10.0,23,Mumbai,['Job Security'],['Promotions / Appraisal']
147,Optum,4.0,24900,13,569,Healthcare,10.0,47,Prairie,"['Job Security', ' Work Life Balance', ' Company Culture']",['Promotions / Appraisal']
148,KEC International,4.1,10900,5,451,Engineering & Construction,5.0,79,Mumbai,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['Promotions / Appraisal']
149,Nagarjuna Construction Company,4.1,10600,27,415,Engineering & Construction,5.0,26,Hyderabad/secunderabad,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['nan']
150,Muthoot Fincorp,4.0,8000,13,282,NBFC,10.0,137,Trivandrum/thiruvananthapuram,"['Job Security', ' Skill Development / Learning', ' Work Life Balance']","['Promotions / Appraisal', ' Salary & Benefits']"
151,Piramal Capital Housing Finance,4.2,9600,23,270,NBFC,1.0,4,Mumbai,"['Company Culture', ' Skill Development / Learning', ' Salary & Benefits']",['nan']
152,Aditya Birla Fashion and Retail,4.2,11600,72,427,Fashion & Textile,10.0,9,Mumbai,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['nan']
153,Viatris,4.2,14700,6,527,Pharma,10.0,63,Canonsburg,"['Salary & Benefits', ' Job Security', ' Work Life Balance']",['nan']
154,Kogta Financial India Limited,4.8,1300,16,50,NBFC,1.0,28,Jaipur,"['Company Culture', ' Work Life Balance', ' Work Satisfaction']",['nan']
155,Royal Enfield,4.2,13800,15,415,Automobile,10.0,123,Gurgaon/gurugram,"['Skill Development / Learning', ' Company Culture', ' Work Satisfaction']",['nan']
156,Samvardhana Motherson Group,3.8,13500,42,414,Auto Components,1.0,38,Noida,['Job Security'],['nan']
157,Tata Communications,4.1,22700,444,433,Telecom,5.0,38,Mumbai,"['Job Security', ' Company Culture', ' Skill Development / Learning']",['nan']
158,L&T Finance,4.0,10700,1,269,NBFC,10.0,30,Mumbai,"['Salary & Benefits', ' Skill Development / Learning']",['nan']
159,LG Electronics,4.0,10100,6,416,Consumer Electronics & Appliances,10.0,66,Seoul,"['Job Security', ' Skill Development / Learning', ' Salary & Benefits']",['nan']
160,Intas Pharmaceuticals,4.1,14800,54,400,Pharma,10.0,24,Ahmedabad,"['Job Security', ' Work Life Balance', ' Salary & Benefits']",['nan']
161,Godrej & Boyce Manufacturing,3.9,16500,27,429,Engineering & Construction,10.0,127,Mumbai,['Job Security'],['Promotions / Appraisal']
162,John Deere,4.3,14100,12,430,Industrial Machinery,5.0,23,Moline,"['Company Culture', ' Skill Development / Learning', ' Job Security']",['nan']
163,Varun Beverages,4.0,9600,88,331,Beverage,5.0,29,Gurgaon/gurugram,"['Job Security', ' Salary & Benefits']",['Promotions / Appraisal']
164,Thermax Limited,4.2,11900,43,388,Industrial Machinery,1.0,58,Pune,"['Job Security', ' Company Culture', ' Skill Development / Learning']",['nan']
165,Randstad,3.9,13200,2300,340,Recruitment,5.0,32,Chennai,['nan'],"['Promotions / Appraisal', ' Job Security']"
166,Hetero Drugs,3.8,13600,27,341,Pharma,1.0,31,Hyderabad/secunderabad,['Job Security'],"['Promotions / Appraisal', ' Salary & Benefits']"
167,Persistent Systems,3.8,31900,89,405,IT Services & Consulting,10.0,34,Pune,"['Company Culture', ' Skill Development / Learning', ' Work Life Balance']",['Promotions / Appraisal']
168,Whitehat jr,3.5,9700,514,973,EdTech,5.0,6,Mumbai,['nan'],"['Job Security', ' Promotions / Appraisal', ' Work Satisfaction']"
169,Havells,4.1,12100,59,332,Electrical Equipment,5.0,41,Noida,"['Salary & Benefits', ' Work Life Balance', ' Company Culture']",['nan']
170,Macleods Pharmaceuticals,3.7,13900,0,366,Pharma,10.0,38,Mumbai,['Job Security'],"['Promotions / Appraisal', ' Company Culture']"
171,Deutsche Bank,4.1,31200,609,416,Banking,10.0,154,Frankfurt,"['Job Security', ' Work Life Balance', ' Company Culture']",['nan']
172,CARS24,3.6,12100,290,421,Internet,5.0,9,Gurgaon,['nan'],"['Job Security', ' Promotions / Appraisal', ' Work Satisfaction']"
173,Sodexo,4.1,9700,112,381,Facility Management Services,10.0,16,Issy les moulineaux,"['Skill Development / Learning', ' Company Culture', ' Work Life Balance']",['nan']
174,Abbott Healthcare,4.1,10600,65,379,Pharma,10.0,33,Illinois city,"['Company Culture', ' Work Life Balance', ' Skill Development / Learning']",['Promotions / Appraisal']
175,Subros,3.9,12000,0,403,Auto Components,1.0,39,Noida,"['Job Security', ' Skill Development / Learning', ' Company Culture']","['Salary & Benefits', ' Promotions / Appraisal']"
176,Ford Motor,4.4,14400,42,397,Automobile,5.0,121,Dearborn,"['Company Culture', ' Work Life Balance', ' Salary & Benefits']",['nan']
177,VE Commercial Vehicles,4.0,12700,5,373,Automobile,1.0,16,Gurgaon/gurugram,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['Promotions / Appraisal']
178,Team Lease,3.9,14000,273,225,Recruitment,1.0,8,Bengaluru,['nan'],['Promotions / Appraisal']
179,Indian Oil Corporation,4.4,7600,0,308,Oil & Gas,10.0,65,New delhi,"['Company Culture', ' Work Life Balance', ' Job Security']",['nan']
180,Automatic Data Processing (ADP),4.1,20300,36,476,Software Product,1.0,75,New jersey,"['Job Security', ' Company Culture', ' Work Life Balance']",['nan']
181,American Express,4.3,20900,117,448,Financial Services,10.0,174,New york city,"['Company Culture', ' Work Life Balance', ' Job Security']",['nan']
182,Cgi Group,4.1,33000,129,412,IT Services & Consulting,10.0,48,Montreal,"['Job Security', ' Company Culture', ' Work Life Balance']",['nan']
183,UnitedHealth,4.1,22600,10,437,Healthcare,10.0,47,Minnetonka,"['Job Security', ' Work Life Balance', ' Company Culture']",['Promotions / Appraisal']
