,name,rating,avg_salary,jobs,benefits,type_of_company,team_size,how_old,city,positives,negatives
3248,Rosenberger Electronic,4.1,1200,0,34,Electronics Manufacturing,501.0,66,Tittmoning,"['Work Life Balance', ' Company Culture', ' Work Satisfaction']",['nan']
3249,Gopal Snacks Limited,4.3,790,16,37,FMCG,1.0,25,Rajkot,"['Company Culture', ' Job Security', ' Work Satisfaction']",['nan']
3250,RV Solutions,3.9,1200,0,31,IT Services & Consulting,201.0,16,Noida,"['Work Life Balance', ' Work Satisfaction']",['Promotions / Appraisal']
3251,New Holland Fiat (India),4.4,743,0,33,Auto Components,501.0,26,New delhi,"['Work Life Balance', ' Skill Development / Learning', ' Work Satisfaction']",['nan']
3252,Etisalat,3.2,1300,0,29,Telecom,1.0,48,Abu dhabi,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
3253,Springer Nature,3.9,2300,18,25,Printing & Publishing,1.0,18,Berlin,"['Work Life Balance', ' Job Security', ' Company Culture']","['Promotions / Appraisal', ' Salary & Benefits']"
3254,Knack Global,3.1,1100,10,25,IT Services & Consulting,501.0,17,Woodbridge,['nan'],"['Work Satisfaction', ' Work Life Balance', ' Company Culture']"
3255,Royal Research,2.2,506,7,27,Analytics & KPO,501.0,11,Kolkata,['nan'],"['Salary & Benefits', ' Work Satisfaction', ' Company Culture']"
3256,LabCorp,4.0,1700,0,41,Healthcare,501.0,,Burlington,"['Job Security', ' Company Culture', ' Work Life Balance']",['nan']
3257,Realme,3.6,786,12,11,Consumer Electronics & Appliances,1.0,,Gurgaon/gurugram,['nan'],"['Promotions / Appraisal', ' Job Security', ' Company Culture']"
3258,Tata Digital,3.2,1200,7,45,Internet,501.0,5,Mumbai,['nan'],"['Promotions / Appraisal', ' Company Culture', ' Work Satisfaction']"
3259,Sarvodaya Hospital,3.9,1200,24,23,Healthcare,51.0,33,Faridabad,"['Skill Development / Learning', ' Work Satisfaction', ' Salary & Benefits']",['nan']
3260,Nimbus Harbor Facilities Management,4.0,973,0,20,Facility Management Services,10.0,20,Gurgaon/gurugram,"['Company Culture', ' Skill Development / Learning', ' Work Satisfaction']",['nan']
3261,Cloud4C,3.4,1800,4,41,IT Services & Consulting,1.0,10,Singapore,['nan'],"['Work Life Balance', ' Company Culture', ' Work Satisfaction']"
3262,Intelliswift Software,3.6,1900,78,19,Software Product,1.0,23,Newark,['nan'],"['Promotions / Appraisal', ' Job Security', ' Work Satisfaction']"
3263,Seth M R Jaipuria School,3.8,800,0,36,Education & Training,1.0,32,New delhi,['Skill Development / Learning'],"['Promotions / Appraisal', ' Job Security', ' Salary & Benefits']"
3264,Radiant Cash Management Services,3.4,826,3,10,Financial Services,5.0,19,Chennai,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Company Culture']"
3265,Sonalika Group of Companies,3.8,1200,12,31,Automobile,5.0,55,Hoshiarpur,['Job Security'],['nan']
3266,INDIAN PUBLIC SCHOOL,3.8,1000,10,33,Education & Training,1.0,20,Salem,['nan'],['Promotions / Appraisal']
3267,Theme Engineering Services,3.6,968,2,23,Engineering & Construction,501.0,22,Jaipur,['nan'],"['Salary & Benefits', ' Promotions / Appraisal', ' Job Security']"
3268,SPRINKLR,3.3,2900,61,30,Software Product,1.0,15,New delhi,['nan'],"['Work Life Balance', ' Work Satisfaction', ' Company Culture']"
3269,Protiviti,3.5,2300,112,21,Management Consulting,1.0,22,Menlo,['nan'],"['Work Satisfaction', ' Salary & Benefits', ' Promotions / Appraisal']"
3270,Knowledgeworks Global,3.1,1100,20,6,Printing & Publishing,501.0,,Glen allen,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
3271,Bharat Oman Refineries,3.7,1200,0,38,Oil & Gas,501.0,13,Bina,['Job Security'],"['Salary & Benefits', ' Promotions / Appraisal']"
3272,Walchandnagar Industries,3.9,1200,1,30,Industrial Machinery,1.0,116,Mumbai,"['Skill Development / Learning', ' Work Life Balance', ' Work Satisfaction']",['Salary & Benefits']
3273,Oriflame,3.7,862,2,44,Beauty & Personal Care,1.0,57,Stockholm,"['Company Culture', ' Work Life Balance']","['Promotions / Appraisal', ' Job Security']"
3274,Trivium Education Services,3.8,876,3,24,EdTech,51.0,14,New delhi,['Work Life Balance'],"['Promotions / Appraisal', ' Job Security']"
3275,Sonalika Group of Companies,3.8,1200,12,31,Automobile,5.0,55,Hoshiarpur,['Job Security'],['nan']
3276,Sir H. N. Reliance Foundation Hospital and Research,4.0,732,12,9,Healthcare,51.0,99,Mumbai,"['Salary & Benefits', ' Job Security', ' Skill Development / Learning']",['Work Satisfaction']
3277,TDS Lithium-Ion Battery,4.2,946,0,29,Auto Components,501.0,5,Ahmedabad,"['Job Security', ' Company Culture', ' Skill Development / Learning']",['nan']
3278,Madura Micro Finance,4.0,831,0,26,Financial Services,1.0,17,Chennai,"['Company Culture', ' Job Security', ' Work Life Balance']",['nan']
3279,Hamleys,3.9,631,0,36,Retail,1.0,264,London,"['Job Security', ' Skill Development / Learning']",['nan']
3280,Pitambari Products,4.1,989,30,26,FMCG,1.0,38,Thane,"['Company Culture', ' Work Life Balance', ' Salary & Benefits']",['nan']
3281,Enser Communications,4.0,570,3,20,IT Services & Consulting,501.0,16,Navi Mumbai,"['Job Security', ' Company Culture', ' Work Satisfaction']",['nan']
3282,Four Points By Sheraton,4.5,742,0,39,Hospitality,501.0,29,Bethesda,"['Job Security', ' Company Culture', ' Skill Development / Learning']",['nan']
3283,IVTL Infoview Technologies,3.5,3100,0,23,IT Services & Consulting,51.0,24,Chennai,['nan'],"['Job Security', ' Work Satisfaction', ' Skill Development / Learning']"
